"ROI_509","centile_10","centile_25","centile_50","centile_75","centile_90"
20.5338809034908,10576.0480963972,12939.6085188542,16811.9729376388,23105.2353835942,33084.7998738848
21.5338809034908,10601.4102891392,12981.2347542148,16875.0530397731,23185.1125626841,33138.6887879596
22.5338809034908,10626.7626040512,13022.9848135216,16938.3653807786,23265.1717825263,33192.7191295552
23.5338809034908,10652.2402156204,13065.0276753416,17002.1344811453,23345.7347429449,33247.4046500078
24.5338809034908,10677.8658798252,13107.3943844483,17066.4046647616,23426.8728839714,33302.8922942887
25.5338809034908,10703.5803605695,13150.015443902,17131.0894224604,23508.47774365,33359.0697315589
26.5338809034908,10729.23405495,13192.7099949054,17195.9567571216,23590.2407029984,33415.538084959
27.5338809034908,10754.6739662297,13235.2923722597,17260.7677508949,23671.8433047493,33471.8834903365
28.5338809034908,10779.7423142319,13277.5703554305,17325.2742445658,23752.954042972,33527.6725748983
29.5338809034908,10804.2676277212,13319.3341399052,17389.2043916188,23833.2085418135,33582.4246102154
30.5338809034908,10828.0734371099,13360.3669738088,17452.276482007,23912.2285442399,33635.6386486402
31.5338809034908,10850.9733342448,13400.439015226,17514.1908862445,23989.6109143415,33686.7783286845
32.5338809034908,10872.8684689475,13439.4277686994,17574.7874935537,24065.1432626207,33735.5745322523
33.5338809034908,10893.8137707162,13477.4004786487,17634.1538989841,24138.9517692123,33782.2301567601
34.5338809034908,10913.9092298411,13514.4803585918,17692.4509710606,24211.2620056115,33827.082257538
35.5338809034908,10933.2611814025,13550.7988700183,17749.8505617622,24282.3136246392,33870.4822794867
36.5338809034908,10952.3480311394,13586.9494779327,17807.1302577244,24353.1738089732,33913.9291484334
37.5338809034908,10972.0589638509,13624.0378743668,17865.7409582994,24425.8284657058,33960.1871875395
38.5338809034908,10993.3176409508,13663.2167276684,17927.1983501505,24502.3491655645,34012.1201132838
39.5338809034908,11017.0701486954,13705.6709968891,17993.0638585969,24584.8670710253,34072.6548076354
40.5338809034908,11044.3983885576,13752.7593691105,18065.1306080348,24675.8269323851,34145.132958028
41.5338809034908,11076.4672346226,13805.9493288538,18145.3387995473,24777.871149571,34233.148325203
42.5338809034908,11114.4620679968,13866.7398659768,18235.6745493524,24893.7014652997,34340.3546921066
43.5338809034908,11159.4902428172,13936.5386884074,18338.0084966292,25025.8586684807,34470.1625726169
44.5338809034908,11212.3855834896,14016.4174858387,18453.7732800071,25176.2828293981,34625.1367423239
45.5338809034908,11273.9313524631,14107.3894009987,18584.3278776482,25346.8112291344,34807.6869537411
46.5338809034908,11344.9520248573,14210.5237945439,18731.1087195517,25539.3846134257,35020.352312274
47.5338809034908,11426.5779498853,14327.278481183,18896.0681506136,25756.6447502508,35266.6188698956
48.5338809034908,11520.3959690087,14459.6908694944,19081.9282368018,26002.2792842739,35551.384586333
49.5338809034908,11628.1067603505,14609.9505501424,19291.6186945984,26280.2544986137,35879.9020489886
50.5338809034908,11751.4520347723,14780.3087034313,19528.1578770265,26594.6528488636,36257.554973843
51.5338809034908,11891.5455592836,14972.236323809,19793.5402323227,26948.1580678472,36687.7952903752
52.5338809034908,12049.0843151898,15186.6864426215,20089.080191426,27342.5253185062,37172.7963804735
53.5338809034908,12224.8377837065,15424.7088742481,20416.223879044,27779.6870879368,37714.9637274821
54.5338809034908,12419.6433580897,15687.4450341627,20776.5426496846,28261.7440886325,38316.9210658003
55.5338809034908,12634.3332656491,15976.036075637,21171.6116313873,28790.7996297637,38981.2844845943
56.5338809034908,12869.803865485,16291.7107979562,21603.1264480436,29369.1184848168,39710.8777725604
57.5338809034908,13127.0507019459,16635.8307147712,22072.9634714381,29999.2086316699,40508.8417207477
58.5338809034908,13407.2842274157,17010.0377561854,22583.3765099585,30684.0881479367,41378.9921612533
59.5338809034908,13712.0611627099,17416.4228579769,23137.2219811394,31427.5903386967,42326.2267306956
60.5338809034908,14043.1206822864,17857.3204195681,23737.6876191474,32233.9941840844,43356.0210682689
