"ROI_Norm_604","centile_10","centile_25","centile_50","centile_75","centile_90"
20.5338809034908,490496.031536447,501490.213350125,512114.432235655,521477.959981558,529064.080899616
21.5338809034908,491091.6969465,502597.183371181,513690.164418249,523450.16675373,531348.068880828
22.5338809034908,491659.168729266,503688.661913372,515262.478660327,525429.716506658,533648.312756409
23.5338809034908,492181.214025449,504753.359255429,516825.274506507,527414.709639048,535966.099270019
24.5338809034908,492657.432072874,505787.358335496,518371.980583405,529396.736102491,538291.820611667
25.5338809034908,493081.159528692,506780.904053751,519890.593596997,531362.296418505,540611.043036823
26.5338809034908,493443.253338776,507720.489666415,521364.35826742,533292.397455194,542903.314370683
27.5338809034908,493735.366070372,508592.633291364,522775.967030498,535167.084775593,545146.942869399
28.5338809034908,493951.302960178,509385.626137894,524109.622008575,536967.742030291,547321.468069007
29.5338809034908,494089.46596163,510092.939757878,525355.222962674,538681.875301027,549412.878917187
30.5338809034908,494151.187407844,510711.211742789,526506.034218344,540300.51742553,551410.818737776
31.5338809034908,494137.332750403,511236.394542236,527554.419540581,541813.620476585,553303.715736296
32.5338809034908,494056.886986442,511671.353030405,528498.632459792,543216.236628593,555084.530386778
33.5338809034908,493932.601726254,512030.691350143,529346.947328351,544512.106702148,556753.948047902
34.5338809034908,493791.881467815,512332.876322944,530110.694523864,545707.328114631,558314.46875252
35.5338809034908,493661.617483975,512595.950024185,530800.598046486,546807.110841837,559767.433188323
36.5338809034908,493556.680530535,512828.392300632,531419.498511762,547809.867963619,561108.070809821
37.5338809034908,493477.786678283,513027.61279162,531961.36237709,548706.616395686,562325.179516197
38.5338809034908,493423.664248076,513189.961797361,532419.565444313,549487.956880873,563407.169988415
39.5338809034908,493390.670372735,513310.361457856,532786.554083475,550143.755379456,564341.754429956
40.5338809034908,493364.563702992,513375.061524737,533047.461199252,550657.431185069,565110.719902033
41.5338809034908,493324.79357107,513365.349672112,533183.433920942,551009.035599927,565692.844444999
42.5338809034908,493249.702814238,513262.007929667,533175.547964892,551178.784061702,566067.164401482
43.5338809034908,493120.372672107,513050.112739324,533010.560326464,551153.644642364,566220.226280953
44.5338809034908,492927.843207098,512728.049909511,532691.725431948,550939.764766022,566159.819182215
45.5338809034908,492665.823938179,512297.665522988,532226.77269313,550548.738537114,565899.973575957
46.5338809034908,492328.00807417,511760.584151603,531623.365570831,549992.392143231,565455.251999824
47.5338809034908,491902.324409331,511115.172759786,530888.662240085,549284.622386769,564844.424797191
48.5338809034908,491368.520523064,510355.103189211,530029.011666878,548442.249006944,564092.362238151
49.5338809034908,490707.158712727,509474.072410835,529050.744439151,547482.548819432,563225.085801683
50.5338809034908,489902.190388719,508467.755278894,527961.461327047,546423.963333129,562270.035444191
51.5338809034908,488962.00274896,507351.482380248,526784.25643871,545297.180280837,561264.576322461
52.5338809034908,487911.175641682,506153.738696199,525552.643333962,544141.13475747,560252.765185107
53.5338809034908,486774.447107819,504902.966768468,524300.057694664,542994.859100658,559279.08756493
54.5338809034908,485577.19431563,503627.482417498,523059.178538112,541896.254605929,558386.780834686
55.5338809034908,484348.845762708,502356.429442156,521860.25254014,540877.895824097,557611.46965617
56.5338809034908,483119.466144718,501118.849119954,520732.625385862,539970.770208854,556986.722085785
57.5338809034908,481918.363565436,499943.266376397,519705.351374445,539205.854846638,556546.463407247
58.5338809034908,480766.574577178,498850.163519174,518799.679645111,538606.641063293,556317.564778271
59.5338809034908,479669.447261047,497844.540156336,518021.623654183,538181.753289983,556312.551013306
60.5338809034908,478630.208636525,496929.425413474,517375.453973494,537938.474723051,556543.216415749
61.5338809034908,477650.507830952,496106.003923401,516863.377063697,537882.012633681,557019.571613977
62.5338809034908,476707.040963439,495342.946396048,516446.470188226,537967.754111443,557694.07908682
63.5338809034908,475754.809649668,494580.312294367,516048.784191416,538105.013006557,558464.612779069
64.5338809034908,474749.248947135,493758.27600441,515593.284869015,538199.998314386,559223.553729935
65.5338809034908,473651.668551694,492822.489939066,515006.994050678,538160.49544834,559861.785676458
66.5338809034908,472454.672931928,491747.646865682,514242.086250411,537913.917436021,560283.371607983
67.5338809034908,471163.608601891,490520.767699239,513261.153717359,537394.274656718,560393.618695895
68.5338809034908,469783.517070873,489129.618895763,512027.380349358,536534.035847736,560092.148855992
69.5338809034908,468223.964535359,487451.209713441,510372.618450403,535108.801790222,559093.276181325
70.5338809034908,466770.726012516,485856.743117474,508771.918524292,533707.704781834,558098.794805884
71.5338809034908,465143.135130015,484008.6632902,506812.889872849,531828.538428153,556510.373395472
72.5338809034908,463437.87815594,482043.04546225,504679.474943215,529707.297926801,554614.517485579
73.5338809034908,461656.905805687,479974.477338906,502401.216377885,527388.865503669,552469.820584461
74.5338809034908,459801.659981185,477814.278206839,500001.517020395,524909.46278243,550124.357545896
75.5338809034908,457874.461373912,475573.722967045,497503.132404901,522304.756937458,547626.587195698
76.5338809034908,455880.878532514,473266.262109916,494930.070343077,519611.278749503,545026.242282843
77.5338809034908,453847.837623691,470923.650378391,492320.717685197,516875.414119631,542378.298191827
78.5338809034908,451813.291446146,468587.008551541,489720.672788548,514148.263134277,539739.894651985
79.5338809034908,449814.880059579,466296.8491647,487174.661438449,511479.970335647,537167.462168864
80.5338809034908,447886.826498619,464090.06214023,484723.650046747,508917.021311985,534714.2909895
81.5338809034908,446052.146014151,461992.274383678,482397.466626045,506495.29778888,532424.262301199
82.5338809034908,444331.308267059,460026.371399509,480223.062999813,504247.94191288,530339.23827372
83.5338809034908,442744.551712388,458214.779947323,478226.723990135,502207.446079282,528501.041576668
84.5338809034908,441298.437112503,456564.796002018,476417.62562467,500386.800944024,526929.609528524
85.5338809034908,439978.092170825,455060.245714985,474778.567581375,498768.796734736,525610.248354867
86.5338809034908,438766.950361292,453683.181502852,473290.404481462,497334.027889895,524525.917691947
87.5338809034908,437648.560754875,452415.759345589,471934.005391246,496062.925828973,523659.278135254
88.5338809034908,436606.025605337,451238.474926597,470686.586407202,494929.147910594,522981.725318938
89.5338809034908,435622.017046217,450130.623765859,469522.766658955,493901.286817116,522455.477089995
90.5338809034908,434679.076027594,449071.51988373,468417.194165303,492947.503966102,522040.705572775
91.5338809034908,433761.769080891,448042.974247911,467347.536486579,492039.279206188,521700.213677169
92.5338809034908,432862.322868739,447035.688436232,466302.112628491,491161.025511841,521412.035281671
93.5338809034908,431971.570222342,446038.728564844,465267.100797387,490293.886041224,521148.237721229
94.5338809034908,431081.095192252,445042.145131337,464229.927917908,489420.349523426,520881.386298378
95.5338809034908,430188.800419856,444043.364887048,463187.037370123,488534.337356977,520598.512068063
96.5338809034908,429294.473792764,443042.006949435,462137.5518145,487633.163013813,520290.739049515
