"ROI_604","centile_10","centile_25","centile_50","centile_75","centile_90"
22.5338809034908,458211.327534711,494969.376829167,538917.013002669,586359.150073692,632249.52933747
23.5338809034908,458062.887539317,494783.320372015,538697.406978647,586117.302506004,631999.89237124
24.5338809034908,457913.358714336,494596.1386512,538476.599847776,585874.148672259,631748.840843459
25.5338809034908,457761.574624234,494406.571677943,538253.219663941,585628.195567619,631494.764426899
26.5338809034908,457605.685345046,494212.621450299,538025.09108549,585377.075974556,631235.109849
27.5338809034908,457443.840328665,494012.289709558,537790.038770193,585118.42272618,630967.323714471
28.5338809034908,457274.095972955,493803.478086773,537545.778629795,584849.750341347,630688.724815078
29.5338809034908,457094.174116811,493583.727256733,537289.633799502,584568.145891988,630396.170642711
30.5338809034908,456901.635671887,493350.404563223,537018.738992424,584270.491413913,630086.2972616
31.5338809034908,456694.007178291,493100.840802476,536730.189529693,583953.626178252,629755.694406947
32.5338809034908,456469.379608893,492832.976559592,536421.744633945,583615.111629113,629401.730207001
33.5338809034908,456226.824960211,492545.811697906,536092.316424275,583253.763238076,629023.124705641
34.5338809034908,455965.700711779,492238.654402703,535741.152637645,582868.761544725,628618.991481452
35.5338809034908,455685.365785981,491910.814581902,535367.503011775,582459.289315562,628188.446480507
36.5338809034908,455386.419616988,491562.941639362,534972.075520545,582026.116215468,627732.317469515
37.5338809034908,455070.812112515,491197.142854062,534557.165011601,581571.738760681,627253.295174137
38.5338809034908,454740.585892498,490815.62516185,534125.174524202,581098.77115651,626754.197475157
39.5338809034908,454397.706789719,490420.512172325,533678.416122973,580609.728585559,626237.7356511
40.5338809034908,454043.663185177,490013.411804212,533218.640450729,580106.515425054,625705.962389599
41.5338809034908,453679.682948327,489595.650523027,532747.291686997,579590.702623622,625160.570898531
42.5338809034908,453306.998689605,489168.559639559,532265.819103737,579063.866640089,624603.260449151
43.5338809034908,452926.411601827,488733.004697587,531775.165039527,578527.032437849,624035.135590569
44.5338809034908,452537.461878746,488288.490526231,531274.791308823,577979.614388011,623455.563736495
45.5338809034908,452139.357443963,487834.163574859,530763.76990407,577420.602815206,622863.454865826
46.5338809034908,451731.301920474,487369.165833828,530241.16809448,576848.982939982,622257.713386612
47.5338809034908,451311.425954479,486891.482363215,529704.79515884,576262.372038815,621635.768544457
48.5338809034908,450876.259738982,486397.372778666,529150.58436847,575656.34743926,620992.84964534
49.5338809034908,450422.216049861,485882.970837518,528574.332650803,575026.33830898,620324.025900708
50.5338809034908,449945.711245449,485344.414944139,527971.842525509,574367.780011811,619624.372877727
51.5338809034908,449443.013026254,484777.684090993,527338.743817518,573675.920337704,618888.763625442
52.5338809034908,448910.296049884,484178.657826439,526670.558851768,572945.890367252,618111.945050132
53.5338809034908,448343.75686748,483543.240124082,525962.837075238,572172.850791062,617288.695638267
54.5338809034908,447739.889018334,482867.655989109,525211.477594146,571352.342702679,616414.203843134
55.5338809034908,447096.496425601,482149.543999038,524413.917162986,570481.579652629,615485.461829203
56.5338809034908,446411.78649183,481386.978190047,523568.066361359,569558.290587743,614500.017510838
57.5338809034908,445683.992120331,480578.060458686,522671.86631929,568580.237734525,613455.454534692
58.5338809034908,444911.674109636,479721.246619766,521723.64334385,567545.602411328,612349.808602967
59.5338809034908,444094.020310237,478815.668875235,520722.45957551,566453.366508261,611181.979165296
60.5338809034908,443230.311189618,477860.559428951,519667.486012431,565302.63035643,609950.9933947
61.5338809034908,442319.841528881,476855.166022357,518557.910613558,564092.512724377,608655.898259281
62.5338809034908,441361.786240924,475798.60695498,517392.780254,562821.978477459,607295.574162223
63.5338809034908,440355.216574727,474689.88862159,516171.019860527,561489.859443695,605868.757485269
64.5338809034908,439299.226268056,473528.041821527,514891.58100518,560095.016442075,604374.215784259
65.5338809034908,438192.844692403,472312.028076932,513553.339967848,558636.228315834,602810.627970543
66.5338809034908,437034.523986174,471040.186498981,512154.495867417,557111.536713148,601175.876742248
67.5338809034908,435822.510118806,469710.634131552,510693.00637743,555518.720441309,599467.560766161
