"Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
21,0.00270094966362827,0.00275406439119196,0.00285055072085043,0.00297170045890229,0.00311193280367167,0.00325987627146315,0.00336121066497802
22,0.00269590168830143,0.00274974853677258,0.00284741278557521,0.00296976687135646,0.00311100791167466,0.00325955103187596,0.003361006896469
23,0.00269080769020135,0.00274540449587979,0.00284426693010715,0.00296783328378085,0.00311007535855937,0.00325919954833599,0.00336076285999574
24,0.00268566431444521,0.00274103033105129,0.00284111259997756,0.00296589969619235,0.00310913556039153,0.00325882373634973,0.00336048259919624
25,0.00268046759196635,0.0027366237557306,0.00283794913680769,0.00296396610859868,0.00310818905506939,0.003258425976191,0.00336017103560452
26,0.00267521274063303,0.00273218202070728,0.00283477574378341,0.00296203252100311,0.00310723654265614,0.00325800926500868,0.00335983425874292
27,0.00266989387940508,0.00272770175091334,0.00283159143601679,0.00296009893340688,0.00310627894342013,0.00325757743629426,0.00335947994548783
28,0.00266450360726254,0.00272317870507676,0.00282839496744747,0.00295816534581044,0.00310531748337625,0.0032571354841146,0.00335911798069956
29,0.0026590323653456,0.00271860741181163,0.00282518472021433,0.00295623175821395,0.0031043538238355,0.00325669005527864,0.00335876140086757
30,0.00265346743917207,0.00271398060077629,0.00282195853187804,0.00295429817061744,0.00310339026384936,0.00325625022022354,0.00335842787465504
31,0.00264779133847484,0.00270928827990819,0.00281871341550784,0.00295236458302093,0.00310243006834263,0.00325582872560811,0.00335814211300244
32,0.00264197904795163,0.00270451617156605,0.00281544508613485,0.00295043099542441,0.00310147802346417,0.00325544412016215,0.00335793996794991
33,0.00263599323795159,0.00269964013622917,0.0028121416960958,0.00294849103186192,0.00310053391928884,0.00325511295496222,0.0033578586492932
34,0.00262979418191858,0.00269462338001176,0.00280876932991962,0.00294651281250354,0.00309956782120339,0.003254806486205,0.00335786893225185
35,0.0026233675041676,0.00268944285527293,0.00280529647955683,0.00294446113559011,0.0030985393805698,0.00325446707225342,0.0033578900026342
36,0.00261668587907452,0.0026840755851875,0.00280170222915882,0.0029423130155093,0.00309742243818227,0.0032540674675319,0.00335789587271604
37,0.00260970240553989,0.00267848882402748,0.00279796444390205,0.00294004720900718,0.00309619619304987,0.00325359860421322,0.00335789579205366
38,0.00260238966313152,0.00267265919602538,0.00279406066945374,0.0029376378384808,0.00309483002399321,0.00325302611170467,0.00335785380749981
39,0.002594718187555,0.00266656354825456,0.00278996980461172,0.00293505954500199,0.00309329296168146,0.00325231678588229,0.00335773840929385
40,0.00258667546409585,0.00266019143723403,0.002785675978624,0.00293228341565578,0.00309154042174438,0.00325141229029233,0.00335748420827775
41,0.00257825527517365,0.00265353631949287,0.00278116338329039,0.00292927680010102,0.0030895201479202,0.00325024182376789,0.00335700932212938
42,0.00256946941167851,0.00264660764919151,0.00277642998750067,0.0029260199237546,0.0030871924363095,0.0032487457698884,0.00335624093087206
43,0.00256034797968694,0.00263943105792486,0.00277148780515866,0.00292250652861836,0.00308453129645925,0.00324687741640196,0.00335511736633477
44,0.00255096419229798,0.00263207154509764,0.00276638520541423,0.0029187667383673,0.00308154818993008,0.00324462650163221,0.00335361042072918
45,0.00254140116318669,0.00262459898044087,0.00276117059878957,0.0029148286447132,0.00307825101287631,0.00324197520229136,0.00335167911203277
46,0.0025317669658469,0.00261709667375976,0.00275589501659585,0.0029107178414213,0.00307464048951417,0.00323888777374732,0.00334925134739284
47,0.00252221796711158,0.00260967333104074,0.0027506139425823,0.00290645441957945,0.00307070224460597,0.00323529162438301,0.00334619178344404
48,0.00251294843387425,0.00260245714312244,0.00274538734391163,0.00290205764442435,0.00306641678493707,0.00323109678198004,0.00334233139639717
49,0.0025041841513868,0.00259559074812738,0.00274027787648819,0.00289754791040247,0.00306176581723574,0.00322620826467196,0.0033374854455143
50,0.00249616021175971,0.00258921320478831,0.00273534345815841,0.00289295369777891,0.00305675528461122,0.00322056527064413,0.00333150353672184
51,0.00248911876813012,0.00258346207185704,0.00273063919608762,0.00288830668775602,0.00305140203767134,0.00321412485915614,0.00332425746472827
52,0.00248328672221178,0.00257846367414161,0.0027262150418108,0.00288363759489393,0.00304572698345106,0.00320686136061979,0.00331565421790885
53,0.00247868894576498,0.00257421296718864,0.00272205872796157,0.00287895558434337,0.00303977201690532,0.00319885151824536,0.00330579622936207
54,0.00247511145170621,0.00257055376193316,0.00271808903116599,0.00287424634407694,0.00303360099369561,0.00319027991099378,0.00329499082131654
55,0.00247228163683493,0.00256729928812176,0.00271421615822578,0.00286949444467661,0.00302728125852609,0.00318134664425109,0.00328357634188984
56,0.0024697915658029,0.00256417680280635,0.00271030798126491,0.00286466323416152,0.00302087725078525,0.00317228213275396,0.00327195675920148
57,0.00246693033635953,0.00256070684262756,0.00270611728845489,0.00285965268230501,0.00301443847991662,0.00316338103804494,0.00326067936569411
58,0.00246300326399252,0.00255641094494149,0.00270138757642627,0.00285435167299586,0.00300799690482622,0.00315489060709195,0.00325020048360133
59,0.00245741138696665,0.00255086890943105,0.00269588791054039,0.00284865887436229,0.00300157465024488,0.0031470002915892,0.00324086006498291
60,0.00244988151286035,0.00254389529531791,0.00268952975215696,0.00284255586329093,0.00299521506311859,0.00313981999637749,0.00323281637094078
61,0.00244026449417274,0.00253540337087839,0.00268229299928483,0.00283606879274525,0.00298898171369753,0.00313344797045903,0.00322618887974792
62,0.00242833572002325,0.00252526592114603,0.00267414518189925,0.00282922276536184,0.00298294797205401,0.00312801839818724,0.00322116506130156
63,0.00241387007665906,0.00251334019585118,0.00266501191805073,0.00282197413247313,0.00297709232589012,0.00312354518517634,0.00321779638456674
64,0.0023967094630834,0.00249949848306202,0.0026547708772568,0.00281418258680522,0.00297125036346662,0.00311984310576542,0.00321588908881337
65,0.00237666421912298,0.00248359757118273,0.00264329303022973,0.00280570242628985,0.00296525503119456,0.0031167363230596,0.00321527610624049
66,0.00235362354292467,0.00246553068793329,0.00263044578148645,0.00279636483606836,0.00295889875691311,0.00311397570142776,0.00321568261538155
67,0.00232799630677924,0.00244542791948436,0.00261609922693674,0.00278590195163447,0.00295177887447811,0.00311091171834929,0.00321619739576121
68,0.00230076042069695,0.00242369456898417,0.0026001802350673,0.00277402549513375,0.00294340247523377,0.00310662711570595,0.00321541940707877
69,0.00227337618128046,0.00240097587446157,0.00258268995552898,0.00276047241650617,0.00293325911477089,0.0031000612471004,0.00321163645977458
70,0.00224696860205268,0.00237784516708779,0.00256378832277029,0.0027452494532168,0.00292121346009676,0.00309073944665105,0.0032039610264569
71,0.00222197122968381,0.00235460983478439,0.00254369609186654,0.00272855154297887,0.00290743800579295,0.00307878013108638,0.00319245155930623
72,0.0021983474780637,0.00233135846203715,0.00252258806935166,0.00271057900649654,0.00289215953275183,0.00306450597297944,0.00317757283455504
73,0.00217559605971495,0.00230800327081593,0.00250066999775677,0.0026916272127725,0.00287576041959562,0.00304857023327918,0.00316034208709117
74,0.00215299404878356,0.00228442668398666,0.00247826694812623,0.00267216064600858,0.00285883785132875,0.00303195843827404,0.00314224088977421
75,0.00213005905986609,0.00226062320985927,0.00245573232701432,0.00265264886541555,0.00284196983576122,0.00301555160523178,0.00312452121506673
76,0.0021066679775219,0.00223674257023368,0.0024334268698871,0.00263351899100162,0.00282564408960984,0.0030000079013116,0.00310804056476601
77,0.0020830370925119,0.00221304419506205,0.00241163249626945,0.00261503689223958,0.00281011134318926,0.00298559273600205,0.00309308746434834
78,0.00205951630188173,0.0021898374729416,0.00239060851450743,0.00259741178931527,0.00279553504881242,0.00297242697006979,0.00307974558682665
79,0.00203650725522107,0.0021674561673229,0.00237061272734114,0.00258083844740064,0.00278205276378669,0.00296058632591554,0.00306803572231844
